timestamp,paid_rate,total_transaction
2023-01-01 00:00:00,75.54102228364972,298
2023-01-01 01:00:00,87.9,500
2023-01-01 02:00:00,71.62491641620657,97
2023-01-01 03:00:00,72.62116386594295,98
2023-01-01 04:00:00,71.48577557070458,79
2023-01-01 05:00:00,74.63123884701704,71
2023-01-01 06:00:00,73.79750837861612,62
2023-01-01 07:00:00,75.11959131862614,104
2023-01-01 08:00:00,77.72479079807414,305
2023-01-01 09:00:00,79.9873347699977,602
2023-01-01 10:00:00,74.9,344
2023-01-01 11:00:00,76.4,535
2023-01-01 12:00:00,75.1,609
2023-01-01 13:00:00,75.5,683
2023-01-01 14:00:00,73.6,765
2023-01-01 15:00:00,76.9,721
2023-01-01 16:00:00,76.9,588
2023-01-01 17:00:00,79.2,702
2023-01-01 18:00:00,78.4,676
2023-01-01 19:00:00,78.4,699
2023-01-01 20:00:00,75.1,602
2023-01-01 21:00:00,77.3,637
2023-01-01 22:00:00,77.5,583
2023-01-01 23:00:00,76.3,426
2023-01-02 00:00:00,68.5,285
2023-01-02 01:00:00,72.1,190
2023-01-02 02:00:00,74.66035004392977,52
2023-01-02 03:00:00,73.56347108308196,46
2023-01-02 04:00:00,74.39119178931949,62
2023-01-02 05:00:00,75.11143261446247,59
2023-01-02 06:00:00,71.45552339635631,89
2023-01-02 07:00:00,75.55593035822166,127
2023-01-02 08:00:00,77.4,165
2023-01-02 09:00:00,76.5,414
2023-01-02 10:00:00,78.6,824
2023-01-02 11:00:00,78.6,1107
2023-01-02 12:00:00,76.8,1049
2023-01-02 13:00:00,79.4,1058
2023-01-02 14:00:00,78.8,1187
2023-01-02 15:00:00,81.5,1032
2023-01-02 16:00:00,80.5,951
2023-01-02 17:00:00,82.3,894
2023-01-02 18:00:00,82.3,869
2023-01-02 19:00:00,81.6,876
2023-01-02 20:00:00,80.2,877
2023-01-02 21:00:00,80.6,876
2023-01-02 22:00:00,79.3,849
2023-01-02 23:00:00,78.1,579
2023-01-03 00:00:00,71.7,339
2023-01-03 01:00:00,74.3,171
2023-01-03 02:00:00,69.56663737255542,99
2023-01-03 03:00:00,72.85083728248618,67
2023-01-03 04:00:00,70.65367596786183,47
2023-01-03 05:00:00,73.06564888407382,92
2023-01-03 06:00:00,71.64803345776424,135
2023-01-03 07:00:00,75.3571003044931,140
2023-01-03 08:00:00,75.9,224
2023-01-03 09:00:00,78.5,516
2023-01-03 10:00:00,82.4,1521
2023-01-03 11:00:00,83.4,1879
2023-01-03 12:00:00,82.5,1755
2023-01-03 13:00:00,81.8,1471
2023-01-03 14:00:00,81.2,1650
2023-01-03 15:00:00,80.7,2054
2023-01-03 16:00:00,78.1,1292
2023-01-03 17:00:00,79.9,1028
2023-01-03 18:00:00,80.8,970
2023-01-03 19:00:00,81.6,938
2023-01-03 20:00:00,79.8,964
2023-01-03 21:00:00,81.3,984
2023-01-03 22:00:00,79.3,874
2023-01-03 23:00:00,81.1,631
2023-01-04 00:00:00,74.4,390
2023-01-04 01:00:00,76.8,164
2023-01-04 02:00:00,75.962020345027,45
2023-01-04 03:00:00,71.62426274172883,74
2023-01-04 04:00:00,75.73458134415618,86
2023-01-04 05:00:00,76.58474635939098,59
2023-01-04 06:00:00,71.05077144065929,91
2023-01-04 07:00:00,75.46425100858403,175
2023-01-04 08:00:00,73.3,277
2023-01-04 09:00:00,77.1,547
2023-01-04 10:00:00,82.0,931
2023-01-04 11:00:00,81.0,1093
2023-01-04 12:00:00,80.6,935
2023-01-04 13:00:00,81.1,974
2023-01-04 14:00:00,79.9,1067
2023-01-04 15:00:00,82.0,952
2023-01-04 16:00:00,79.5,977
2023-01-04 17:00:00,83.0,916
2023-01-04 18:00:00,81.7,883
2023-01-04 19:00:00,81.7,926
2023-01-04 20:00:00,79.8,861
2023-01-04 21:00:00,80.2,981
2023-01-04 22:00:00,80.6,806
2023-01-04 23:00:00,77.0,573
2023-01-05 00:00:00,76.2,302
2023-01-05 01:00:00,84.3,267
2023-01-05 02:00:00,72.41961711768143,104
2023-01-05 03:00:00,71.29775909170478,108
2023-01-05 04:00:00,73.74140113234816,56
2023-01-05 05:00:00,74.77906943583318,35
2023-01-05 06:00:00,72.29209039714435,81
2023-01-05 07:00:00,75.05543565153049,149
2023-01-05 08:00:00,78.7,272
2023-01-05 09:00:00,78.9,531
2023-01-05 10:00:00,80.5,836
2023-01-05 11:00:00,80.6,1047
2023-01-05 12:00:00,84.3,1378
2023-01-05 13:00:00,83.4,824
2023-01-05 14:00:00,80.0,839
2023-01-05 15:00:00,83.1,812
2023-01-05 16:00:00,76.8,820
2023-01-05 17:00:00,79.9,836
2023-01-05 18:00:00,80.7,827
2023-01-05 19:00:00,80.7,830
2023-01-05 20:00:00,80.4,815
2023-01-05 21:00:00,82.1,864
2023-01-05 22:00:00,80.5,739
2023-01-05 23:00:00,77.1,525
2023-01-06 00:00:00,78.5,289
2023-01-06 01:00:00,78.3,189
2023-01-06 02:00:00,74.54327160152943,61
2023-01-06 03:00:00,74.04734959634466,102
2023-01-06 04:00:00,73.10411265622771,119
2023-01-06 05:00:00,77.07358970628825,89
2023-01-06 06:00:00,74.1106133039391,87
2023-01-06 07:00:00,76.30077275116636,180
2023-01-06 08:00:00,74.5,275
2023-01-06 09:00:00,80.1,594
2023-01-06 10:00:00,82.3,830
2023-01-06 11:00:00,81.5,899
2023-01-06 12:00:00,79.4,963
2023-01-06 13:00:00,80.2,919
2023-01-06 14:00:00,81.6,936
2023-01-06 15:00:00,84.3,1714
2023-01-06 16:00:00,80.5,1015
2023-01-06 17:00:00,82.4,1011
2023-01-06 18:00:00,81.2,836
2023-01-06 19:00:00,83.0,799
2023-01-06 20:00:00,80.2,762
2023-01-06 21:00:00,79.2,721
2023-01-06 22:00:00,81.9,692
2023-01-06 23:00:00,79.7,556
2023-01-07 00:00:00,78.3,277
2023-01-07 01:00:00,75.6,193
2023-01-07 02:00:00,72.7669047393246,65
2023-01-07 03:00:00,71.32312682663023,90
2023-01-07 04:00:00,77.66606395779291,66
2023-01-07 05:00:00,70.54714590127196,82
2023-01-07 06:00:00,71.16590297850564,60
2023-01-07 07:00:00,74.95035793364642,160
2023-01-07 08:00:00,77.7,283
2023-01-07 09:00:00,82.1,616
2023-01-07 10:00:00,82.4,983
2023-01-07 11:00:00,79.4,1168
2023-01-07 12:00:00,80.4,1102
2023-01-07 13:00:00,81.5,1073
2023-01-07 14:00:00,80.0,1135
2023-01-07 15:00:00,80.9,1166
2023-01-07 16:00:00,80.0,862
2023-01-07 17:00:00,80.3,767
2023-01-07 18:00:00,84.4,788
2023-01-07 19:00:00,81.1,768
2023-01-07 20:00:00,81.0,596
2023-01-07 21:00:00,80.1,614
2023-01-07 22:00:00,80.3,588
2023-01-07 23:00:00,81.1,429
2023-01-08 00:00:00,75.8,240
2023-01-08 01:00:00,81.6,163
2023-01-08 02:00:00,74.61500830465154,69
