p,d,q,P,D,Q,AIC,MSE,Time
0,1,1,1,1,1,51004.50370889624,5.764896100058885,50.19
0,1,1,1,1,0,53240.20098685504,14.43961049428747,17.99
0,1,1,1,0,1,51040.72796777687,2.847183520757836,8.55
0,1,1,1,0,0,52542.53157762753,3.2407768744407828,3.39
0,1,1,0,1,1,51021.317066949385,5.63784415902808,51.88
0,1,1,0,1,0,55443.3517378136,35.85973140040735,2.52
0,1,1,0,0,1,53057.01875858505,3.347934168300921,3.41
0,1,1,0,0,0,54038.08028965573,3.5645449304921084,0.91
0,1,0,1,1,1,54352.63600232262,30.479507552894937,17.7
0,1,0,1,1,0,56735.00408106332,198.51082393022259,8.96
0,1,0,1,0,1,54350.348521933316,12.109361543028637,5.02
0,1,0,1,0,0,55043.412540755824,7.085657664679802,1.99
0,1,0,0,1,1,54386.08988235046,33.04321251574518,12.7
0,1,0,0,1,0,58982.18388545124,270.45786749508346,0.89
0,1,0,0,0,1,55183.582201637866,6.554319699577071,2.52
0,1,0,0,0,0,55623.058337867325,5.925988911411467,0.19
0,0,1,1,1,1,51043.18640481625,2.954981142172737,23.23
0,0,1,1,1,0,52875.54002852354,2.9824551653176576,13.13
0,0,1,1,0,1,52823.42840372358,3.3237784738485106,22.26
0,0,1,1,0,0,52383.69957068199,3.3740057439361966,12.14
0,0,1,0,1,1,51063.591973793606,2.9569040547629633,15.49
0,0,1,0,1,0,54989.567494839706,3.0308843278533613,2.24
0,0,1,0,0,1,53032.572235082276,3.3738433597173336,3.92
0,0,1,0,0,0,54142.08197026639,3.3750580254557114,0.87
0,0,0,1,1,1,51833.882973792584,2.949561443868068,17.46
0,0,0,1,1,0,53487.39180447649,2.9896976208234656,8.65
0,0,0,1,0,1,52960.351482219245,3.6173916794558396,18.66
0,0,0,1,0,0,62484.66590231363,2.9758612456909823,12.77
0,0,0,0,1,1,51851.18740549247,2.94699882813799,9.73
0,0,0,0,1,0,55528.14942092479,3.0145443423762983,0.71
0,0,0,0,0,1,54567.5014058733,3.373618538367936,2.16
0,0,0,0,0,0,56403.5180837438,3.375285245433795,0.14
1,1,1,1,1,1,50566.661529717516,4.1397809600738364,91.16
1,1,1,1,1,0,52813.17546102628,4.365048251004237,77.59
1,1,1,1,0,1,50597.56088315087,3.5267616951108063,18.39
1,1,1,1,0,0,51742.14476251638,3.2297735396773115,7.77
1,1,1,0,1,1,50593.36169782302,3.8001399046731006,37.7
1,1,1,0,1,0,54938.465229220936,4.968764085059283,13.02
1,1,1,0,0,1,52051.70206047013,3.235282000290652,7.21
1,1,1,0,0,0,52757.53199025492,3.2436884288112204,1.86
1,1,0,1,1,1,53090.987512142434,27.657579350183404,24.54
1,1,0,1,1,0,55366.14862220543,174.89140426740346,12.86
1,1,0,1,0,1,53093.17544092074,10.464179221226333,5.75
1,1,0,1,0,0,54054.27388871309,6.3181341769212045,2.91
1,1,0,0,1,1,53120.678751536834,29.22236593322082,17.47
1,1,0,0,1,0,57545.71584726457,242.2355785595724,1.32
1,1,0,0,0,1,54300.05049382986,5.668435152112304,3.06
1,1,0,0,0,0,54934.13463382753,5.190688354859636,0.39
1,0,1,1,1,1,50793.26648779259,2.9486518488771924,52.62
1,0,1,1,1,0,52796.41529166503,2.9730907022227404,26.81
1,0,1,1,0,1,-1.0,-1.0,-1.0
1,0,1,1,0,0,52235.74930538447,3.4173476794500175,17.34
1,0,1,0,1,1,50815.125801708156,2.9582141483375723,37.77
1,0,1,0,1,0,54923.63604363926,2.9892841156176146,3.7
1,0,1,0,0,1,52492.33396479921,3.3687451283102012,6.24
1,0,1,0,0,0,53326.55917572832,3.3685116221291684,0.95
1,0,0,1,1,1,50892.87336540991,2.953468014531806,26.06
1,0,0,1,1,0,52806.86550951688,2.98703625151199,15.16
1,0,0,1,0,1,51074.09233344948,2.9760508117796416,19.41
1,0,0,1,0,0,52115.00482933318,3.3729176006980057,14.42
1,0,0,0,1,1,50915.09267725391,2.958964047595325,15.46
1,0,0,0,1,0,54933.210823453,3.003816321406881,1.36
1,0,0,0,0,1,52548.94151683361,3.374080401321424,9.38
1,0,0,0,0,0,53354.99510533372,3.3746862560289617,0.36
