p=2, d=0, q=0, P=0, D=0, Q=0, AIC=26894.823228575093, MSE=2.8997879636563524, Time=0.25s
p=2, d=0, q=0, P=0, D=0, Q=1, AIC=26748.274704183015, MSE=2.896741094350071, Time=6.19s
p=2, d=0, q=0, P=0, D=0, Q=2, AIC=26668.99493005088, MSE=2.894394903104638, Time=38.02s
p=2, d=0, q=0, P=0, D=1, Q=0, AIC=28887.727434142016, MSE=2.5784157244470864, Time=2.08s
p=2, d=0, q=0, P=0, D=1, Q=1, AIC=25666.86168962407, MSE=2.189260067647907, Time=16.59s
p=2, d=0, q=0, P=0, D=1, Q=2, AIC=25667.22420934042, MSE=2.1846965561027987, Time=54.46s

p=2, d=0, q=0, P=1, D=0, Q=0, AIC=26785.23468166356, MSE=2.8890247412975403, Time=15.51s
p=2, d=0, q=0, P=1, D=0, Q=1, AIC=47430.61133784675, MSE=42047.08641887729, Time=6.94s

p=2, d=0, q=0, P=1, D=0, Q=2, AIC=26200.18227494738, MSE=2.305422564809648, Time=78.13s
p=2, d=0, q=0, P=1, D=1, Q=0, AIC=27518.5183478779, MSE=2.4705142218594176, Time=13.04s
p=2, d=0, q=0, P=1, D=1, Q=1, AIC=25667.23815545623, MSE=2.184638102695342, Time=20.87s
p=2, d=0, q=0, P=1, D=1, Q=2, AIC=25669.482069466074, MSE=2.1881918213165323, Time=51.24s

p=2, d=0, q=0, P=2, D=0, Q=0, AIC=28611.970550614133, MSE=9.442400804765903, Time=147.05s

p=2, d=0, q=0, P=2, D=0, Q=1, AIC=29226.269391817466, MSE=8.58123354645508, Time=76.19s

p=2, d=0, q=0, P=2, D=0, Q=2, AIC=27371.481770170358, MSE=6.8232659516184455, Time=88.68s
p=2, d=0, q=0, P=2, D=1, Q=0, AIC=26887.505069155122, MSE=2.408830740684261, Time=33.16s
p=2, d=0, q=0, P=2, D=1, Q=1, AIC=25669.158493523555, MSE=2.185722758402415, Time=56.04s
p=2, d=0, q=0, P=2, D=1, Q=2, AIC=25671.028692953703, MSE=2.185322496883359, Time=57.25s
p=2, d=0, q=1, P=0, D=0, Q=0, AIC=26895.38147483977, MSE=2.8999856211698902, Time=0.93s
p=2, d=0, q=1, P=0, D=0, Q=1, AIC=26745.135181824488, MSE=2.896686163677027, Time=4.02s
